index,LSOA11CD,msoa21cd,year,weight
220,E01000001,E02000001,2011,1.0
5092,E01000001,E02000001,2012,1.0
9955,E01000001,E02000001,2013,1.0
14822,E01000001,E02000001,2014,1.0
19685,E01000001,E02000001,2015,1.0
24545,E01000001,E02000001,2016,1.0
29403,E01000001,E02000001,2017,1.0
34262,E01000001,E02000001,2018,1.0
39124,E01000001,E02000001,2019,1.0
43980,E01000001,E02000001,2020,1.0
48842,E01000001,E02000001,2021,1.0
254,E01000002,E02000001,2011,1.0
5126,E01000002,E02000001,2012,1.0
9989,E01000002,E02000001,2013,1.0
14856,E01000002,E02000001,2014,1.0
19720,E01000002,E02000001,2015,1.0
24580,E01000002,E02000001,2016,1.0
29438,E01000002,E02000001,2017,1.0
34297,E01000002,E02000001,2018,1.0
39159,E01000002,E02000001,2019,1.0
44016,E01000002,E02000001,2020,1.0
48878,E01000002,E02000001,2021,1.0
204,E01000003,E02000001,2011,1.0
5076,E01000003,E02000001,2012,1.0
9939,E01000003,E02000001,2013,1.0
14806,E01000003,E02000001,2014,1.0
19667,E01000003,E02000001,2015,1.0
24527,E01000003,E02000001,2016,1.0
29385,E01000003,E02000001,2017,1.0
34244,E01000003,E02000001,2018,1.0
39106,E01000003,E02000001,2019,1.0
43961,E01000003,E02000001,2020,1.0
48823,E01000003,E02000001,2021,1.0
165,E01000005,E02000001,2011,1.0
5036,E01000005,E02000001,2012,1.0
9899,E01000005,E02000001,2013,1.0
14765,E01000005,E02000001,2014,1.0
19628,E01000005,E02000001,2015,1.0
24487,E01000005,E02000001,2016,1.0
29346,E01000005,E02000001,2017,1.0
34205,E01000005,E02000001,2018,1.0
39066,E01000005,E02000001,2019,1.0
43920,E01000005,E02000001,2020,1.0
48781,E01000005,E02000001,2021,1.0
3518,E01000006,E02000017,2011,1.0
8390,E01000006,E02000017,2012,1.0
13254,E01000006,E02000017,2013,1.0
18120,E01000006,E02000017,2014,1.0
22985,E01000006,E02000017,2015,1.0
27845,E01000006,E02000017,2016,1.0
32704,E01000006,E02000017,2017,1.0
37564,E01000006,E02000017,2018,1.0
42426,E01000006,E02000017,2019,1.0
47283,E01000006,E02000017,2020,1.0
52145,E01000006,E02000017,2021,1.0
4476,E01000007,E02000016,2011,1.0
9349,E01000007,E02000016,2012,1.0
14218,E01000007,E02000016,2013,1.0
19097,E01000007,E02000016,2014,1.0
23967,E01000007,E02000016,2015,1.0
28827,E01000007,E02000016,2016,1.0
33686,E01000007,E02000016,2017,1.0
38544,E01000007,E02000016,2018,1.0
43406,E01000007,E02000016,2019,1.0
48263,E01000007,E02000016,2020,1.0
53126,E01000007,E02000016,2021,1.0
4546,E01000008,E02000016,2011,0.99812
9419,E01000008,E02000016,2012,1.0
14281,E01000008,E02000016,2013,0.99812
19147,E01000008,E02000016,2014,1.0
24014,E01000008,E02000016,2015,1.0
28877,E01000008,E02000016,2016,1.0
33737,E01000008,E02000016,2017,1.0
38596,E01000008,E02000016,2018,1.0
43458,E01000008,E02000016,2019,1.0
48315,E01000008,E02000016,2020,1.0
53177,E01000008,E02000016,2021,1.0
4467,E01000009,E02000017,2011,1.0
9340,E01000009,E02000017,2012,1.0
14209,E01000009,E02000017,2013,1.0
19089,E01000009,E02000017,2014,1.0
23955,E01000009,E02000017,2015,1.0
28815,E01000009,E02000017,2016,1.0
33674,E01000009,E02000017,2017,1.0
38532,E01000009,E02000017,2018,1.0
43394,E01000009,E02000017,2019,1.0
48251,E01000009,E02000017,2020,1.0
53114,E01000009,E02000017,2021,1.0
4483,E01000010,E02000016,2011,1.0
9356,E01000010,E02000016,2012,0.999218
14224,E01000010,E02000016,2013,1.0
19102,E01000010,E02000016,2014,1.0
23971,E01000010,E02000016,2015,1.0
28831,E01000010,E02000016,2016,1.0
33690,E01000010,E02000016,2017,1.0
38548,E01000010,E02000016,2018,1.0
43410,E01000010,E02000016,2019,1.0
48267,E01000010,E02000016,2020,1.0
53129,E01000010,E02000016,2021,1.0
4519,E01000011,E02000017,2011,1.0
9392,E01000011,E02000017,2012,1.0
14257,E01000011,E02000017,2013,1.0
19130,E01000011,E02000017,2014,1.0
24000,E01000011,E02000017,2015,1.0
28863,E01000011,E02000017,2016,1.0
33724,E01000011,E02000017,2017,1.0
38582,E01000011,E02000017,2018,1.0
43444,E01000011,E02000017,2019,1.0
48301,E01000011,E02000017,2020,1.0
53163,E01000011,E02000017,2021,1.0
4471,E01000012,E02000016,2011,1.0
9344,E01000012,E02000016,2012,1.0
14213,E01000012,E02000016,2013,1.0
19092,E01000012,E02000016,2014,1.0
23962,E01000012,E02000016,2015,1.0
28822,E01000012,E02000016,2016,1.0
33681,E01000012,E02000016,2017,1.0
38539,E01000012,E02000016,2018,1.0
43401,E01000012,E02000016,2019,1.0
48258,E01000012,E02000016,2020,1.0
53121,E01000012,E02000016,2021,1.0
3501,E01000013,E02000014,2011,1.0
8373,E01000013,E02000014,2012,1.0
13237,E01000013,E02000014,2013,1.0
18103,E01000013,E02000014,2014,1.0
22968,E01000013,E02000014,2015,1.0
27828,E01000013,E02000014,2016,1.0
32687,E01000013,E02000014,2017,1.0
37547,E01000013,E02000014,2018,1.0
42409,E01000013,E02000014,2019,1.0
47266,E01000013,E02000014,2020,1.0
52128,E01000013,E02000014,2021,1.0
3494,E01000014,E02000014,2011,1.0
8366,E01000014,E02000014,2012,1.0
13230,E01000014,E02000014,2013,1.0
18096,E01000014,E02000014,2014,1.0
22961,E01000014,E02000014,2015,1.0
27822,E01000014,E02000014,2016,1.0
32681,E01000014,E02000014,2017,1.0
37541,E01000014,E02000014,2018,1.0
42403,E01000014,E02000014,2019,1.0
47260,E01000014,E02000014,2020,1.0
52122,E01000014,E02000014,2021,1.0
3496,E01000015,E02000010,2011,1.0
8368,E01000015,E02000010,2012,1.0
13232,E01000015,E02000010,2013,1.0
18098,E01000015,E02000010,2014,1.0
22963,E01000015,E02000010,2015,1.0
27824,E01000015,E02000010,2016,1.0
32683,E01000015,E02000010,2017,1.0
37543,E01000015,E02000010,2018,1.0
42405,E01000015,E02000010,2019,1.0
47262,E01000015,E02000010,2020,1.0
52124,E01000015,E02000010,2021,1.0
4673,E01000016,E02000010,2011,1.0
9548,E01000016,E02000010,2012,1.0
14411,E01000016,E02000010,2013,1.0
19278,E01000016,E02000010,2014,1.0
24144,E01000016,E02000010,2015,1.0
29004,E01000016,E02000010,2016,1.0
33864,E01000016,E02000010,2017,1.0
38723,E01000016,E02000010,2018,1.0
43585,E01000016,E02000010,2019,1.0
48442,E01000016,E02000010,2020,1.0
53304,E01000016,E02000010,2021,1.0
4679,E01000017,E02000010,2011,1.0
9552,E01000017,E02000010,2012,1.0
14415,E01000017,E02000010,2013,1.0
19279,E01000017,E02000010,2014,1.0
24145,E01000017,E02000010,2015,1.0
29005,E01000017,E02000010,2016,1.0
33865,E01000017,E02000010,2017,1.0
38724,E01000017,E02000010,2018,1.0
43586,E01000017,E02000010,2019,1.0
48443,E01000017,E02000010,2020,1.0
53305,E01000017,E02000010,2021,1.0
4680,E01000018,E02000010,2011,1.0
9553,E01000018,E02000010,2012,1.0
14416,E01000018,E02000010,2013,1.0
19282,E01000018,E02000010,2014,1.0
24148,E01000018,E02000010,2015,1.0
29008,E01000018,E02000010,2016,1.0
33868,E01000018,E02000010,2017,1.0
38727,E01000018,E02000010,2018,1.0
