index,LSOA11CD,GSS_CODE,year,weight
283,E01000001,E05009288,2011,0.901594
6721,E01000001,E05009288,2012,0.894096
13159,E01000001,E05009288,2013,0.901594
19602,E01000001,E05009288,2014,0.891589
26042,E01000001,E05009288,2015,0.8990659999999999
32477,E01000001,E05009288,2016,0.891589
38916,E01000001,E05009288,2017,0.8990659999999999
45354,E01000001,E05009288,2018,0.8990659999999999
51797,E01000001,E05009288,2019,0.8990659999999999
58241,E01000001,E05009288,2020,0.891589
64689,E01000001,E05009288,2021,0.8990659999999999
354,E01000001,E05009298,2011,0.0
6792,E01000001,E05009298,2012,0.0
13231,E01000001,E05009298,2013,0.0
19673,E01000001,E05009298,2014,0.0
26115,E01000001,E05009298,2015,0.0
32550,E01000001,E05009298,2016,0.0
38990,E01000001,E05009298,2017,0.0
45428,E01000001,E05009298,2018,0.0
51871,E01000001,E05009298,2019,0.0
58317,E01000001,E05009298,2020,0.0
64765,E01000001,E05009298,2021,0.0
255,E01000001,E05009304,2011,0.098407
6693,E01000001,E05009304,2012,0.105905
13131,E01000001,E05009304,2013,0.098407
19574,E01000001,E05009304,2014,0.108412
26014,E01000001,E05009304,2015,0.100935
32449,E01000001,E05009304,2016,0.108412
38888,E01000001,E05009304,2017,0.100935
45326,E01000001,E05009304,2018,0.100935
51769,E01000001,E05009304,2019,0.100935
58214,E01000001,E05009304,2020,0.108412
64662,E01000001,E05009304,2021,0.100935
353,E01000002,E05009290,2011,0.0
6791,E01000002,E05009290,2012,0.0
13229,E01000002,E05009290,2013,0.0
19655,E01000002,E05009290,2014,0.086177
26096,E01000002,E05009290,2015,0.083689
32532,E01000002,E05009290,2016,0.084687
38972,E01000002,E05009290,2017,0.084687
45410,E01000002,E05009290,2018,0.084687
51853,E01000002,E05009290,2019,0.084615
58299,E01000002,E05009290,2020,0.084615
64747,E01000002,E05009290,2021,0.08546999999999999
362,E01000002,E05009298,2011,0.0
6800,E01000002,E05009298,2012,0.0
13239,E01000002,E05009298,2013,0.0
19681,E01000002,E05009298,2014,0.0
26123,E01000002,E05009298,2015,0.0
32558,E01000002,E05009298,2016,0.0
38997,E01000002,E05009298,2017,0.0
45435,E01000002,E05009298,2018,0.0
51878,E01000002,E05009298,2019,0.0
58324,E01000002,E05009298,2020,0.0
64772,E01000002,E05009298,2021,0.0
370,E01000002,E05009299,2011,0.0
6808,E01000002,E05009299,2012,0.0
13247,E01000002,E05009299,2013,0.0
19689,E01000002,E05009299,2014,0.0
26131,E01000002,E05009299,2015,0.0
321,E01000002,E05009302,2011,0.999999
6759,E01000002,E05009302,2012,0.999999
13197,E01000002,E05009302,2013,0.9999990000000001
19640,E01000002,E05009302,2014,0.913822
26081,E01000002,E05009302,2015,0.9163110000000001
32516,E01000002,E05009302,2016,0.915312
38955,E01000002,E05009302,2017,0.915312
45393,E01000002,E05009302,2018,0.915312
51836,E01000002,E05009302,2019,0.915385
58282,E01000002,E05009302,2020,0.915385
64730,E01000002,E05009302,2021,0.91453
260,E01000003,E05009288,2011,0.216143
6698,E01000003,E05009288,2012,0.216143
13136,E01000003,E05009288,2013,0.216143
19579,E01000003,E05009288,2014,0.216143
26019,E01000003,E05009288,2015,0.216143
32454,E01000003,E05009288,2016,0.214735
38893,E01000003,E05009288,2017,0.26369
45331,E01000003,E05009288,2018,0.263912
51774,E01000003,E05009288,2019,0.263912
58219,E01000003,E05009288,2020,0.24358
64667,E01000003,E05009288,2021,0.243012
236,E01000003,E05009302,2011,0.783857
6674,E01000003,E05009302,2012,0.783857
13112,E01000003,E05009302,2013,0.783857
19555,E01000003,E05009302,2014,0.783857
25993,E01000003,E05009302,2015,0.783857
32426,E01000003,E05009302,2016,0.785265
38865,E01000003,E05009302,2017,0.73631
45303,E01000003,E05009302,2018,0.736088
51746,E01000003,E05009302,2019,0.736088
58191,E01000003,E05009302,2020,0.75642
64639,E01000003,E05009302,2021,0.756988
367,E01000005,E05009289,2011,0.0
6805,E01000005,E05009289,2012,0.0
