area_code,gss_code
E02002483,E06000001
E02002484,E06000001
E02002485,E06000001
E02002489,E06000001
E02002490,E06000001
E02002491,E06000001
E02002492,E06000001
E02002493,E06000001
E02002494,E06000001
E02006909,E06000001
E02007059,E06000001
E02002496,E06000002
E02002497,E06000002
E02002498,E06000002
E02002499,E06000002
E02002500,E06000002
E02002501,E06000002
E02002502,E06000002
E02002503,E06000002
E02002504,E06000002
E02002505,E06000002
E02002506,E06000002
E02002507,E06000002
E02002508,E06000002
E02002509,E06000002
E02002510,E06000002
E02002512,E06000002
E02002513,E06000002
E02002514,E06000002
E02006811,E06000002
E02002515,E06000003
E02002516,E06000003
E02002517,E06000003
E02002518,E06000003
E02002519,E06000003
E02002520,E06000003
E02002521,E06000003
E02002523,E06000003
E02002524,E06000003
E02002525,E06000003
E02002526,E06000003
E02002527,E06000003
E02002529,E06000003
E02002530,E06000003
E02002532,E06000003
E02002533,E06000003
E02002534,E06000003
E02006812,E06000003
E02006910,E06000003
E02002535,E06000004
E02002784,E06000014
E02002785,E06000014
E02002786,E06000014
E02002787,E06000014
E02002788,E06000014
E02002789,E06000014
E02002790,E06000014
E02002791,E06000014
E02002792,E06000014
E02002793,E06000014
E02002794,E06000014
E02002795,E06000014
E02002796,E06000015
E02002797,E06000015
E02002798,E06000015
E02002799,E06000015
E02002800,E06000015
E02002801,E06000015
E02002802,E06000015
E02002803,E06000015
E02002804,E06000015
E02002805,E06000015
E02002806,E06000015
E02002807,E06000015
E02002808,E06000015
E02002809,E06000015
E02002810,E06000015
E02002811,E06000015
E02002812,E06000015
E02002813,E06000015
E02002814,E06000015
E02002815,E06000015
E02002816,E06000015
E02002817,E06000015
E02002818,E06000015
E02002819,E06000015
E02002820,E06000015
E02002821,E06000015
E02002822,E06000015
E02002823,E06000015
E02002824,E06000015
E02002825,E06000015
E02002826,E06000015
E02002827,E06000016
E02002828,E06000016
E02002829,E06000016
E02002830,E06000016
E02002831,E06000016
E02002832,E06000016
E02002833,E06000016
E02002684,E06000011
E02002685,E06000011
E02002686,E06000011
E02002687,E06000011
E02002688,E06000011
E02002689,E06000011
E02002691,E06000011
E02002692,E06000011
E02002693,E06000011
E02002694,E06000011
E02002695,E06000011
E02002696,E06000011
E02002697,E06000011
E02002698,E06000011
E02002699,E06000011
E02002700,E06000011
E02002701,E06000011
E02002702,E06000011
E02002703,E06000011
E02002704,E06000011
E02002705,E06000011
E02002706,E06000011
E02002707,E06000011
E02002708,E06000011
E02002709,E06000011
E02002710,E06000011
E02002711,E06000011
E02002712,E06000011
E02002714,E06000011
E02002715,E06000011
E02002716,E06000011
E02002717,E06000011
E02002718,E06000011
E02002719,E06000011
E02002720,E06000011
E02002721,E06000011
E02002722,E06000011
E02002723,E06000011
E02002724,E06000011
E02002725,E06000011
E02006814,E06000011
E02006891,E06000011
E02006892,E06000011
E02002726,E06000012
E02002727,E06000012
E02002728,E06000012
E02002729,E06000012
E02002730,E06000012
E02002731,E06000012
E02002732,E06000012
E02002635,E06000009
E02002636,E06000009
E02002637,E06000009
E02002638,E06000009
E02002639,E06000009
E02002640,E06000009
E02002641,E06000009
E02002642,E06000009
E02002643,E06000009
E02002644,E06000009
E02002645,E06000009
E02002646,E06000009
E02002647,E06000009
E02002648,E06000009
E02002649,E06000009
E02002650,E06000009
E02002651,E06000009
E02002653,E06000010
E02002654,E06000010
E02002655,E06000010
E02002656,E06000010
E02002657,E06000010
E02002658,E06000010
E02002659,E06000010
E02002660,E06000010
E02002661,E06000010
E02002662,E06000010
E02002663,E06000010
E02002664,E06000010
E02002665,E06000010
E02002666,E06000010
E02002667,E06000010
E02002668,E06000010
E02002669,E06000010
E02002670,E06000010
E02002671,E06000010
E02002672,E06000010
E02002673,E06000010
E02002674,E06000010
E02002675,E06000010
E02002676,E06000010
E02002677,E06000010
E02002678,E06000010
E02002679,E06000010
E02002680,E06000010
E02002681,E06000010
E02002682,E06000010
E02006813,E06000010
E02007079,E06000010
E02007080,E06000010
E02002733,E06000012
E02002734,E06000012
E02002736,E06000012
E02002737,E06000012
E02002738,E06000012
E02002739,E06000012
E02002740,E06000012
E02002741,E06000012
E02002743,E06000012
E02002744,E06000012
E02002745,E06000012
E02002746,E06000012
E02002747,E06000012
E02002748,E06000012
E02007081,E06000012
E02002749,E06000013
E02002750,E06000013
E02002751,E06000013
E02002752,E06000013
E02002753,E06000013
E02002754,E06000013
E02002755,E06000013
E02002756,E06000013
E02002757,E06000013
E02002758,E06000013
E02002759,E06000013
E02002760,E06000013
E02002761,E06000013
E02002762,E06000013
E02002763,E06000013
E02002764,E06000013
E02002765,E06000013
E02002766,E06000013
E02002767,E06000013
E02002768,E06000013
E02002769,E06000013
E02002770,E06000013
E02002771,E06000013
E02002772,E06000014
E02002773,E06000014
E02002774,E06000014
E02002775,E06000014
E02002776,E06000014
E02002777,E06000014
E02002778,E06000014
E02002779,E06000014
E02002780,E06000014
E02002781,E06000014
E02002782,E06000014
E02002783,E06000014
E02002834,E06000016
E02002836,E06000016
E02002837,E06000016
E02002838,E06000016
E02002839,E06000016
E02002842,E06000016
E02002843,E06000016
E02002844,E06000016
E02002845,E06000016
E02002846,E06000016
E02002847,E06000016
E02002848,E06000016
E02002849,E06000016
E02002851,E06000016
E02002852,E06000016
E02002853,E06000016
E02002854,E06000016
E02002855,E06000016
E02002856,E06000016
E02002857,E06000016
E02002858,E06000016
E02002860,E06000016
E02002861,E06000016
E02002862,E06000016
E02006815,E06000016
E02006817,E06000016
E02006819,E06000016
E02006850,E06000016
E02006851,E06000016
E02006964,E06000016
E02006965,E06000016
E02002863,E06000017
E02002864,E06000017
E02002865,E06000017
E02002866,E06000017
E02002867,E06000017
E02002868,E06000018
E02002869,E06000018
E02002871,E06000018
E02002872,E06000018
E02002873,E06000018
E02002874,E06000018
E02002875,E06000018
E02002876,E06000018
E02002877,E06000018
E02002878,E06000018
E02002879,E06000018
E02002880,E06000018
E02002881,E06000018
E02002882,E06000018
E02002585,E06000006
E02002586,E06000006
E02002587,E06000006
E02002588,E06000006
E02002589,E06000006
E02002590,E06000007
E02002591,E06000007
E02002592,E06000007
E02002593,E06000007
E02002594,E06000007
E02002595,E06000007
E02002596,E06000007
E02002597,E06000007
E02002598,E06000007
E02002599,E06000007
E02002600,E06000007
E02002601,E06000007
E02002602,E06000007
E02002603,E06000007
E02002604,E06000007
E02002605,E06000007
E02002606,E06000007
E02002607,E06000007
E02002608,E06000007
E02002609,E06000007
E02002610,E06000007
E02002611,E06000007
E02002612,E06000007
E02002613,E06000007
E02002614,E06000007
E02002615,E06000008
E02002616,E06000008
E02002617,E06000008
E02002618,E06000008
E02002619,E06000008
E02002620,E06000008
E02002621,E06000008
E02002622,E06000008
E02002623,E06000008
E02002624,E06000008
E02002625,E06000008
E02002626,E06000008
E02002627,E06000008
E02002628,E06000008
E02002629,E06000008
E02002630,E06000008
E02002631,E06000008
E02002632,E06000008
E02002633,E06000009
E02002634,E06000009
E02002536,E06000004
E02002537,E06000004
E02002538,E06000004
E02002539,E06000004
E02002540,E06000004
E02002541,E06000004
E02002542,E06000004
E02002543,E06000004
E02002544,E06000004
E02002545,E06000004
E02002546,E06000004
E02002547,E06000004
E02002549,E06000004
E02002550,E06000004
E02002551,E06000004
E02002552,E06000004
E02002553,E06000004
E02002554,E06000004
E02002555,E06000004
E02002556,E06000004
E02002558,E06000004
E02007060,E06000004
