area_code,gss_code
mz_1612,E09000001
mz_1050,E09000002
mz_1054,E09000002
mz_701,E09000002
mz_1402,E09000002
mz_697,E09000002
mz_699,E09000002
mz_1398,E09000002
mz_1401,E09000002
mz_1400,E09000002
mz_696,E09000002
mz_1059,E09000002
mz_1058,E09000002
mz_1399,E09000002
mz_698,E09000002
mz_1060,E09000002
mz_1397,E09000002
mz_1057,E09000002
mz_1529,E09000002
mz_700,E09000002
mz_1190,E09000003
mz_1189,E09000003
mz_1468,E09000003
mz_1466,E09000003
mz_1449,E09000003
mz_1533,E09000003
mz_1534,E09000003
mz_1176,E09000003
mz_1467,E09000003
mz_650,E09000003
mz_1187,E09000003
mz_1191,E09000003
mz_1473,E09000003
mz_1451,E09000003
mz_1452,E09000003
mz_1508,E09000003
mz_1470,E09000003
mz_1454,E09000003
mz_1455,E09000003
mz_647,E09000003
mz_1450,E09000003
mz_1517,E09000003
mz_1469,E09000003
mz_648,E09000003
mz_1509,E09000003
mz_1178,E09000003
mz_1179,E09000003
mz_1474,E09000003
mz_1324,E09000003
mz_649,E09000003
mz_1180,E09000003
mz_1181,E09000003
mz_1188,E09000003
mz_1472,E09000003
mz_1471,E09000003
mz_1184,E09000003
mz_1326,E09000003
mz_1325,E09000003
mz_1453,E09000003
mz_1186,E09000003
mz_1177,E09000003
mz_1173,E09000003
mz_1175,E09000003
mz_1185,E09000003
mz_469,E09000004
mz_477,E09000004
mz_1064,E09000004
mz_467,E09000004
mz_474,E09000004
mz_1403,E09000004
mz_472,E09000004
mz_1404,E09000004
mz_1065,E09000004
mz_1063,E09000004
mz_468,E09000004
mz_471,E09000004
mz_1062,E09000004
mz_463,E09000004
mz_470,E09000004
mz_1308,E09000004
mz_466,E09000004
mz_465,E09000004
mz_464,E09000004
mz_476,E09000004
mz_473,E09000004
mz_1309,E09000004
mz_1061,E09000004
mz_475,E09000004
mz_1165,E09000005
mz_1163,E09000005
mz_1164,E09000005
mz_1169,E09000005
mz_630,E09000005
mz_1158,E09000005
mz_1447,E09000005
mz_1448,E09000005
mz_1155,E09000005
mz_634,E09000005
mz_1156,E09000005
mz_631,E09000005
mz_633,E09000005
mz_1170,E09000005
mz_1171,E09000005
mz_1159,E09000005
mz_1160,E09000005
mz_1154,E09000005
mz_636,E09000005
mz_1446,E09000005
mz_1153,E09000005
mz_1518,E09000005
mz_1167,E09000005
mz_1168,E09000005
mz_1162,E09000005
mz_637,E09000005
mz_629,E09000005
mz_635,E09000005
mz_632,E09000005
mz_1166,E09000005
mz_1161,E09000005
mz_1172,E09000005
mz_1157,E09000005
mz_1334,E09000006
mz_1332,E09000006
mz_1333,E09000006
mz_482,E09000006
mz_484,E09000006
mz_494,E09000006
mz_992,E09000006
mz_1315,E09000006
mz_1280,E09000006
mz_1281,E09000006
mz_495,E09000006
mz_496,E09000006
mz_1414,E09000006
mz_993,E09000006
mz_490,E09000006
mz_995,E09000006
mz_478,E09000006
mz_1513,E09000006
mz_1335,E09000006
mz_996,E09000006
mz_493,E09000006
mz_485,E09000006
mz_480,E09000006
mz_487,E09000006
mz_489,E09000006
mz_492,E09000006
mz_1331,E09000006
mz_1512,E09000006
mz_479,E09000006
mz_1415,E09000006
mz_1413,E09000006
mz_481,E09000006
mz_991,E09000006
mz_994,E09000006
mz_488,E09000006
mz_1458,E09000007
mz_825,E09000007
mz_1711,E09000007
mz_452,E09000007
mz_1459,E09000007
mz_827,E09000007
mz_829,E09000007
mz_832,E09000007
mz_826,E09000007
mz_831,E09000007
mz_824,E09000007
mz_1464,E09000007
mz_1677,E09000007
mz_941,E09000007
mz_1463,E09000007
mz_939,E09000007
mz_828,E09000007
mz_1558,E09000007
mz_1559,E09000007
mz_746,E09000007
mz_453,E09000007
mz_745,E09000007
mz_940,E09000007
mz_830,E09000007
mz_1073,E09000008
mz_1075,E09000008
mz_521,E09000008
mz_522,E09000008
mz_1067,E09000008
mz_520,E09000008
mz_1068,E09000008
mz_516,E09000008
mz_1070,E09000008
mz_1069,E09000008
mz_1083,E09000008
mz_1082,E09000008
mz_1078,E09000008
mz_510,E09000008
mz_513,E09000008
mz_519,E09000008
mz_514,E09000008
mz_517,E09000008
mz_1072,E09000008
mz_749,E09000008
mz_1077,E09000008
mz_512,E09000008
mz_1081,E09000008
mz_515,E09000008
mz_1076,E09000008
mz_525,E09000008
mz_526,E09000008
mz_1079,E09000008
mz_1080,E09000008
mz_1071,E09000008
mz_511,E09000008
mz_523,E09000008
mz_528,E09000008
mz_524,E09000008
mz_529,E09000008
mz_527,E09000008
mz_1066,E09000008
mz_1074,E09000008
mz_614,E09000009
mz_613,E09000009
mz_1138,E09000009
mz_1140,E09000009
mz_1145,E09000009
mz_618,E09000009
mz_617,E09000009
mz_1136,E09000009
mz_1137,E09000009
mz_1135,E09000009
mz_1134,E09000009
mz_1445,E09000009
mz_1444,E09000009
mz_1494,E09000009
mz_616,E09000009
mz_1132,E09000009
mz_1149,E09000009
mz_1147,E09000009
mz_1146,E09000009
mz_620,E09000009
mz_1150,E09000009
mz_1129,E09000009
mz_1130,E09000009
mz_1139,E09000009
mz_1131,E09000009
mz_1133,E09000009
mz_621,E09000009
mz_1152,E09000009
mz_1151,E09000009
mz_1148,E09000009
mz_1443,E09000009
mz_619,E09000009
mz_1143,E09000009
mz_1144,E09000009
mz_1141,E09000009
mz_1142,E09000009
mz_615,E09000009
mz_1192,E09000010
mz_1193,E09000010
mz_652,E09000010
mz_655,E09000010
mz_660,E09000010
mz_659,E09000010
mz_1199,E09000010
mz_658,E09000010
mz_651,E09000010
mz_1379,E09000010
mz_1378,E09000010
mz_98,E09000010
mz_1709,E09000010
mz_1724,E09000010
mz_1725,E09000010
mz_1511,E09000010
mz_742,E09000010
mz_664,E09000010
mz_1196,E09000010
mz_653,E09000010
mz_1195,E09000010
mz_663,E09000010
mz_1198,E09000010
mz_657,E09000010
mz_1194,E09000010
mz_1510,E09000010
mz_661,E09000010
mz_1723,E09000010
mz_740,E09000010
mz_741,E09000010
mz_654,E09000010
mz_656,E09000010
mz_975,E09000011
mz_976,E09000011
mz_500,E09000011
mz_780,E09000011
mz_972,E09000011
mz_971,E09000011
mz_788,E09000011
mz_1305,E09000011
mz_1306,E09000011
mz_1307,E09000011
mz_790,E09000011
mz_974,E09000011
mz_497,E09000011
mz_786,E09000011
mz_779,E09000011
mz_789,E09000011
mz_499,E09000011
mz_498,E09000011
mz_791,E09000011
mz_782,E09000011
mz_781,E09000011
mz_1699,E09000011
mz_973,E09000011
mz_800,E09000012
mz_798,E09000012
mz_1352,E09000012
mz_1360,E09000012
mz_795,E09000012
mz_1348,E09000012
mz_1349,E09000012
mz_792,E09000012
mz_1362,E09000012
mz_1361,E09000012
mz_796,E09000012
mz_1359,E09000012
mz_1503,E09000012
mz_1502,E09000012
mz_1557,E09000012
mz_1501,E09000012
mz_952,E09000012
mz_951,E09000012
mz_797,E09000012
mz_801,E09000012
mz_803,E09000012
mz_1367,E09000012
mz_1366,E09000012
mz_802,E09000012
mz_799,E09000012
mz_794,E09000012
mz_949,E09000012
mz_793,E09000012
mz_950,E09000012
mz_1301,E09000013
mz_446,E09000013
mz_810,E09000013
mz_1303,E09000013
mz_804,E09000013
mz_445,E09000013
mz_1437,E09000013
mz_1436,E09000013
mz_447,E09000013
mz_1010,E09000013
mz_812,E09000013
mz_813,E09000013
mz_1009,E09000013
mz_1299,E09000013
mz_1435,E09000013
mz_1490,E09000013
mz_1491,E09000013
mz_448,E09000013
mz_809,E09000013
mz_808,E09000013
mz_806,E09000013
mz_1300,E09000013
mz_805,E09000013
mz_1206,E09000014
mz_1456,E09000014
mz_1205,E09000014
mz_1207,E09000014
mz_1209,E09000014
mz_1713,E09000014
mz_1202,E09000014
mz_1519,E09000014
mz_454,E09000014
mz_1201,E09000014
mz_817,E09000014
mz_1204,E09000014
mz_1203,E09000014
mz_818,E09000014
mz_1457,E09000014
mz_1374,E09000014
mz_455,E09000014
mz_1208,E09000014
mz_1371,E09000014
mz_815,E09000014
mz_456,E09000014
mz_814,E09000014
mz_1369,E09000014
mz_1353,E09000014
mz_739,E09000014
mz_1210,E09000014
mz_457,E09000014
mz_1372,E09000014
mz_1376,E09000014
mz_1373,E09000014
mz_1377,E09000014
mz_1375,E09000014
mz_1219,E09000015
mz_1216,E09000015
mz_1211,E09000015
mz_1213,E09000015
mz_1212,E09000015
mz_1222,E09000015
mz_641,E09000015
mz_640,E09000015
mz_642,E09000015
mz_1215,E09000015
mz_643,E09000015
mz_1225,E09000015
